,Date,Open
856,"Mar 12, 2017",1176.62
857,"Mar 11, 2017",1116.32
858,"Mar 10, 2017",1189.36
859,"Mar 09, 2017",1150.35
860,"Mar 08, 2017",1223.23
861,"Mar 07, 2017",1273.21
862,"Mar 06, 2017",1267.47
863,"Mar 05, 2017",1254.29
864,"Mar 04, 2017",1277.43
865,"Mar 03, 2017",1250.71
866,"Mar 02, 2017",1224.68
867,"Mar 01, 2017",1180.04
868,"Feb 28, 2017",1180.72
869,"Feb 27, 2017",1163.78
870,"Feb 26, 2017",1144.27
871,"Feb 25, 2017",1170.41
872,"Feb 24, 2017",1172.71
873,"Feb 23, 2017",1117.27
874,"Feb 22, 2017",1114.8
875,"Feb 21, 2017",1079.28
876,"Feb 20, 2017",1048.69
877,"Feb 19, 2017",1054.76
878,"Feb 18, 2017",1049.21
879,"Feb 17, 2017",1026.12
880,"Feb 16, 2017",1007.65
881,"Feb 15, 2017",1006.21
882,"Feb 14, 2017",991.73
883,"Feb 13, 2017",998.89
884,"Feb 12, 2017",1003.52
885,"Feb 11, 2017",988.9
886,"Feb 10, 2017",995.63
887,"Feb 09, 2017",1064.7
888,"Feb 08, 2017",1062.32
889,"Feb 07, 2017",1040.14
890,"Feb 06, 2017",1028.4
891,"Feb 05, 2017",1043.52
892,"Feb 04, 2017",1031.33
893,"Feb 03, 2017",1011.46
894,"Feb 02, 2017",990
895,"Feb 01, 2017",970.94
896,"Jan 31, 2017",920.96
897,"Jan 30, 2017",920.15
898,"Jan 29, 2017",922.07
899,"Jan 28, 2017",919.81
900,"Jan 27, 2017",918.36
901,"Jan 26, 2017",902.4
902,"Jan 25, 2017",891.92
903,"Jan 24, 2017",910.68
904,"Jan 23, 2017",925.5
905,"Jan 22, 2017",922.21
906,"Jan 21, 2017",895.55
907,"Jan 20, 2017",898.17
908,"Jan 19, 2017",888.34
909,"Jan 18, 2017",909.37
910,"Jan 17, 2017",830.95
911,"Jan 16, 2017",821.78
912,"Jan 15, 2017",818.14
913,"Jan 14, 2017",825.14
914,"Jan 13, 2017",803.74
915,"Jan 12, 2017",775.18
916,"Jan 11, 2017",908.11
917,"Jan 10, 2017",902.44
918,"Jan 09, 2017",913.24
919,"Jan 08, 2017",908.17
920,"Jan 07, 2017",903.49
921,"Jan 06, 2017",1014.24
922,"Jan 05, 2017",1156.73
923,"Jan 04, 2017",1044.4
924,"Jan 03, 2017",1021.6
925,"Jan 02, 2017",998.62
926,"Jan 01, 2017",963.66
927,"Dec 31, 2016",960.63
928,"Dec 30, 2016",972.53
929,"Dec 29, 2016",975.13
930,"Dec 28, 2016",934.83
931,"Dec 27, 2016",908.35
932,"Dec 26, 2016",896.91
933,"Dec 25, 2016",899.65
934,"Dec 24, 2016",922.18
935,"Dec 23, 2016",864.89
936,"Dec 22, 2016",834.18
937,"Dec 21, 2016",800.64
938,"Dec 20, 2016",792.25
939,"Dec 19, 2016",790.69
940,"Dec 18, 2016",791.01
941,"Dec 17, 2016",785.17
942,"Dec 16, 2016",778.96
943,"Dec 15, 2016",780.07
944,"Dec 14, 2016",780.01
945,"Dec 13, 2016",780.65
946,"Dec 12, 2016",770.04
947,"Dec 11, 2016",774.75
948,"Dec 10, 2016",773.02
949,"Dec 09, 2016",769.94
950,"Dec 08, 2016",768.08
951,"Dec 07, 2016",764.21
952,"Dec 06, 2016",758.72
953,"Dec 05, 2016",773.39
954,"Dec 04, 2016",771.64
955,"Dec 03, 2016",778.25
956,"Dec 02, 2016",757.54
957,"Dec 01, 2016",746.05
958,"Nov 30, 2016",736.28
959,"Nov 29, 2016",736.33
960,"Nov 28, 2016",732.48
961,"Nov 27, 2016",735.44
962,"Nov 26, 2016",741.51
963,"Nov 25, 2016",740.44
964,"Nov 24, 2016",744.62
965,"Nov 23, 2016",751.74
966,"Nov 22, 2016",739.64
967,"Nov 21, 2016",731.27
968,"Nov 20, 2016",751.88
969,"Nov 19, 2016",751.83
970,"Nov 18, 2016",740.71
971,"Nov 17, 2016",744.88
972,"Nov 16, 2016",711.17
973,"Nov 15, 2016",705.79
974,"Nov 14, 2016",702
975,"Nov 13, 2016",705.2
976,"Nov 12, 2016",716.75
977,"Nov 11, 2016",715.55
978,"Nov 10, 2016",722.84
979,"Nov 09, 2016",709.83
980,"Nov 08, 2016",703.09
981,"Nov 07, 2016",710.74
982,"Nov 06, 2016",703.81
983,"Nov 05, 2016",703.53
984,"Nov 04, 2016",689.12
985,"Nov 03, 2016",742.35
986,"Nov 02, 2016",730.07
987,"Nov 01, 2016",701.34
988,"Oct 31, 2016",702.64
989,"Oct 30, 2016",714.12
990,"Oct 29, 2016",690.29
991,"Oct 28, 2016",688
992,"Oct 27, 2016",678.21
993,"Oct 26, 2016",657.68
994,"Oct 25, 2016",654
995,"Oct 24, 2016",657.16
996,"Oct 23, 2016",657.62
997,"Oct 22, 2016",633.14
998,"Oct 21, 2016",630.83
999,"Oct 20, 2016",630.66
1000,"Oct 19, 2016",638.13
1001,"Oct 18, 2016",639.41
1002,"Oct 17, 2016",641.82
1003,"Oct 16, 2016",639.08
1004,"Oct 15, 2016",640.31
1005,"Oct 14, 2016",637.01
1006,"Oct 13, 2016",636.03
1007,"Oct 12, 2016",640.87
1008,"Oct 11, 2016",619.24
1009,"Oct 10, 2016",616.82
1010,"Oct 09, 2016",619.17
1011,"Oct 08, 2016",617.34
1012,"Oct 07, 2016",612.61
1013,"Oct 06, 2016",612.47
1014,"Oct 05, 2016",610.22
1015,"Oct 04, 2016",612.05
1016,"Oct 03, 2016",610.97
1017,"Oct 02, 2016",613.95
1018,"Oct 01, 2016",609.93
1019,"Sep 30, 2016",605.72
1020,"Sep 29, 2016",605.02
1021,"Sep 28, 2016",606.24
1022,"Sep 27, 2016",608.02
1023,"Sep 26, 2016",600.81
1024,"Sep 25, 2016",602.75
1025,"Sep 24, 2016",602.96
1026,"Sep 23, 2016",596.2
1027,"Sep 22, 2016",597.28
1028,"Sep 21, 2016",603.59
1029,"Sep 20, 2016",609.25
1030,"Sep 19, 2016",609.87
1031,"Sep 18, 2016",606.28
1032,"Sep 17, 2016",607.22
1033,"Sep 16, 2016",607.25
1034,"Sep 15, 2016",610.59
1035,"Sep 14, 2016",608.84
1036,"Sep 13, 2016",608.03
1037,"Sep 12, 2016",607.01
1038,"Sep 11, 2016",623.42
1039,"Sep 10, 2016",622.93
1040,"Sep 09, 2016",626.35
1041,"Sep 08, 2016",614.64
1042,"Sep 07, 2016",610.57
1043,"Sep 06, 2016",606.51
1044,"Sep 05, 2016",608.99
1045,"Sep 04, 2016",598.59
1046,"Sep 03, 2016",575.55
1047,"Sep 02, 2016",572.41
1048,"Sep 01, 2016",575.55
1049,"Aug 31, 2016",577.59
1050,"Aug 30, 2016",574.11
1051,"Aug 29, 2016",574.07
1052,"Aug 28, 2016",569.83
1053,"Aug 27, 2016",579.45
1054,"Aug 26, 2016",577.75
1055,"Aug 25, 2016",580.18
1056,"Aug 24, 2016",583.41
1057,"Aug 23, 2016",586.77
1058,"Aug 22, 2016",581.31
1059,"Aug 21, 2016",581.94
1060,"Aug 20, 2016",576.08
1061,"Aug 19, 2016",574.34
1062,"Aug 18, 2016",573.71
1063,"Aug 17, 2016",577.76
1064,"Aug 16, 2016",567.24
1065,"Aug 15, 2016",570.49
1066,"Aug 14, 2016",585.59
1067,"Aug 13, 2016",587.36
1068,"Aug 12, 2016",588.8
1069,"Aug 11, 2016",592.12
1070,"Aug 10, 2016",587.65
1071,"Aug 09, 2016",591.04
1072,"Aug 08, 2016",592.74
1073,"Aug 07, 2016",587.77
1074,"Aug 06, 2016",575.03
1075,"Aug 05, 2016",578.28
1076,"Aug 04, 2016",566.33
1077,"Aug 03, 2016",548.66
1078,"Aug 02, 2016",606.4
1079,"Aug 01, 2016",624.6
1080,"Jul 31, 2016",655.1
1081,"Jul 30, 2016",657.01
1082,"Jul 29, 2016",655.11
1083,"Jul 28, 2016",654.49
1084,"Jul 27, 2016",651.63
1085,"Jul 26, 2016",654.23
1086,"Jul 25, 2016",661.26
1087,"Jul 24, 2016",655.41
1088,"Jul 23, 2016",650.73
1089,"Jul 22, 2016",664.92
1090,"Jul 21, 2016",665.23
1091,"Jul 20, 2016",672.81
1092,"Jul 19, 2016",672.74
1093,"Jul 18, 2016",679.81
1094,"Jul 17, 2016",661.99
1095,"Jul 16, 2016",663.78
1096,"Jul 15, 2016",659.17
1097,"Jul 14, 2016",652.92
1098,"Jul 13, 2016",664.8
1099,"Jul 12, 2016",648.28
1100,"Jul 11, 2016",648.48
1101,"Jul 10, 2016",650.6
1102,"Jul 09, 2016",666.38
1103,"Jul 08, 2016",640.69
1104,"Jul 07, 2016",678.09
1105,"Jul 06, 2016",670.42
1106,"Jul 05, 2016",683.21
1107,"Jul 04, 2016",658.8
1108,"Jul 03, 2016",704.97
1109,"Jul 02, 2016",676.73
1110,"Jul 01, 2016",672.52
1111,"Jun 30, 2016",640.59
1112,"Jun 29, 2016",644.12
1113,"Jun 28, 2016",658.1
1114,"Jun 27, 2016",629.35
1115,"Jun 26, 2016",665.93
1116,"Jun 25, 2016",665.28
1117,"Jun 24, 2016",625.58
1118,"Jun 23, 2016",597.44
1119,"Jun 22, 2016",665.91
1120,"Jun 21, 2016",735.88
1121,"Jun 20, 2016",763.93
1122,"Jun 19, 2016",756.69
1123,"Jun 18, 2016",748.76
1124,"Jun 17, 2016",768.49
1125,"Jun 16, 2016",696.52
1126,"Jun 15, 2016",685.68
1127,"Jun 14, 2016",704.5
1128,"Jun 13, 2016",671.65
1129,"Jun 12, 2016",609.68
1130,"Jun 11, 2016",578.67
1131,"Jun 10, 2016",575.84
1132,"Jun 09, 2016",582.2
1133,"Jun 08, 2016",577.17
1134,"Jun 07, 2016",585.45
1135,"Jun 06, 2016",574.6
1136,"Jun 05, 2016",573.31
1137,"Jun 04, 2016",569.71
1138,"Jun 03, 2016",537.68
1139,"Jun 02, 2016",536.52
1140,"Jun 01, 2016",531.11
1141,"May 31, 2016",534.19
1142,"May 30, 2016",528.47
1143,"May 29, 2016",527.48
1144,"May 28, 2016",473.03
1145,"May 27, 2016",453.52
1146,"May 26, 2016",449.67
1147,"May 25, 2016",446.06
1148,"May 24, 2016",444.29
1149,"May 23, 2016",439.35
1150,"May 22, 2016",443.22
1151,"May 21, 2016",442.97
1152,"May 20, 2016",437.79
1153,"May 19, 2016",454.52
1154,"May 18, 2016",453.69
1155,"May 17, 2016",454.01
1156,"May 16, 2016",457.59
1157,"May 15, 2016",455.76
1158,"May 14, 2016",455.82
1159,"May 13, 2016",454.85
1160,"May 12, 2016",452.45
1161,"May 11, 2016",450.86
1162,"May 10, 2016",460.52
1163,"May 09, 2016",458.21
1164,"May 08, 2016",458.43
1165,"May 07, 2016",459.64
1166,"May 06, 2016",447.94
1167,"May 05, 2016",446.71
1168,"May 04, 2016",450.18
1169,"May 03, 2016",444.73
1170,"May 02, 2016",451.93
1171,"May 01, 2016",448.48
1172,"Apr 30, 2016",455.18
1173,"Apr 29, 2016",449.41
1174,"Apr 28, 2016",445.04
1175,"Apr 27, 2016",466.26
1176,"Apr 26, 2016",461.65
1177,"Apr 25, 2016",459.12
1178,"Apr 24, 2016",450.56
1179,"Apr 23, 2016",445.86
1180,"Apr 22, 2016",449.69
1181,"Apr 21, 2016",441.42
1182,"Apr 20, 2016",435.32
1183,"Apr 19, 2016",428.7
1184,"Apr 18, 2016",427.61
1185,"Apr 17, 2016",430.64
1186,"Apr 16, 2016",429.58
1187,"Apr 15, 2016",424.43
1188,"Apr 14, 2016",423.93
1189,"Apr 13, 2016",425.63
1190,"Apr 12, 2016",422.84
1191,"Apr 11, 2016",421.87
1192,"Apr 10, 2016",419.59
1193,"Apr 09, 2016",420.81
1194,"Apr 08, 2016",422.91
1195,"Apr 07, 2016",423.62
1196,"Apr 06, 2016",424.28
1197,"Apr 05, 2016",421.02
1198,"Apr 04, 2016",421.3
1199,"Apr 03, 2016",421.17
1200,"Apr 02, 2016",418.42
1201,"Apr 01, 2016",416.76
1202,"Mar 31, 2016",415.26
1203,"Mar 30, 2016",416.83
1204,"Mar 29, 2016",424.3
1205,"Mar 28, 2016",426.55
1206,"Mar 27, 2016",418.14
1207,"Mar 26, 2016",417.36
1208,"Mar 25, 2016",416.51
1209,"Mar 24, 2016",418.42
1210,"Mar 23, 2016",418.16
1211,"Mar 22, 2016",413.13
1212,"Mar 21, 2016",413.42
1213,"Mar 20, 2016",410.4
1214,"Mar 19, 2016",409.27
1215,"Mar 18, 2016",420.55
1216,"Mar 17, 2016",417.89
1217,"Mar 16, 2016",416.89
1218,"Mar 15, 2016",416.39
1219,"Mar 14, 2016",414.2
1220,"Mar 13, 2016",411.65
1221,"Mar 12, 2016",421.61
1222,"Mar 11, 2016",417.24
1223,"Mar 10, 2016",414.74
1224,"Mar 09, 2016",413.89
1225,"Mar 08, 2016",414.46
1226,"Mar 07, 2016",407.76
1227,"Mar 06, 2016",400.52
1228,"Mar 05, 2016",410.78
1229,"Mar 04, 2016",421.84
1230,"Mar 03, 2016",423.91
1231,"Mar 02, 2016",435.13
1232,"Mar 01, 2016",437.92
1233,"Feb 29, 2016",433.44
1234,"Feb 28, 2016",432.57
1235,"Feb 27, 2016",432.84
1236,"Feb 26, 2016",424.63
1237,"Feb 25, 2016",425.04
1238,"Feb 24, 2016",420.96
1239,"Feb 23, 2016",438.26
1240,"Feb 22, 2016",438.99
1241,"Feb 21, 2016",437.77
1242,"Feb 20, 2016",421.6
1243,"Feb 19, 2016",422.73
1244,"Feb 18, 2016",416.57
1245,"Feb 17, 2016",407.66
1246,"Feb 16, 2016",401.43
1247,"Feb 15, 2016",407.57
1248,"Feb 14, 2016",392.93
1249,"Feb 13, 2016",384.64
1250,"Feb 12, 2016",379.69
1251,"Feb 11, 2016",382.11
1252,"Feb 10, 2016",376.15
1253,"Feb 09, 2016",373.42
1254,"Feb 08, 2016",376.76
1255,"Feb 07, 2016",376.51
1256,"Feb 06, 2016",386.59
1257,"Feb 05, 2016",388.9
1258,"Feb 04, 2016",370.17
1259,"Feb 03, 2016",374.65
1260,"Feb 02, 2016",372.92
1261,"Feb 01, 2016",369.35
1262,"Jan 31, 2016",378.29
1263,"Jan 30, 2016",378.86
1264,"Jan 29, 2016",380.11
1265,"Jan 28, 2016",395.15
